trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1341,False,"{'a': 0.001, 'e': 0.26158395379094995}",20,1,23.787735552509876,"{0: 18, 1: 1, 2: 0, 3: 0, 4: 0}",1
1342,False,"{'a': 0.001, 'e': 0.2613225005855494}",25,18,10.215698396502386,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
1343,False,"{'a': 0.001, 'e': 0.2610613087026713}",20,3,16.504446194663352,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 0}",1
1344,False,"{'a': 0.001, 'e': 0.26080037788112365}",20,0,21.288934998635195,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
1345,False,"{'a': 0.001, 'e': 0.2605397078599756}",20,3,-4.736385625538232,"{0: 14, 1: 1, 2: 2, 3: 0, 4: 0}",1
1346,False,"{'a': 0.001, 'e': 0.2602792983785571}",30,22,7.878284492568529,"{0: 7, 1: 1, 2: 0, 3: 0, 4: 0}",1
1347,False,"{'a': 0.001, 'e': 0.26001914917645874}",25,9,10.06051844924984,"{0: 14, 1: 1, 2: 1, 3: 0, 4: 0}",1
1348,False,"{'a': 0.001, 'e': 0.2597592599935311}",25,11,-58.12162713304356,"{0: 10, 1: 1, 2: 1, 3: 1, 4: 1}",1
1349,False,"{'a': 0.001, 'e': 0.25949963056988523}",20,13,12.04925106331476,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
1350,False,"{'a': 0.001, 'e': 0.2592402606458915}",20,1,-34.61261227981946,"{0: 14, 1: 1, 2: 3, 3: 1, 4: 0}",1
1351,False,"{'a': 0.001, 'e': 0.25898114996218}",30,22,15.096041836728372,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
1352,False,"{'a': 0.001, 'e': 0.25872229825964005}",35,17,-44.71857620963674,"{0: 14, 1: 0, 2: 3, 3: 0, 4: 1}",1
1353,False,"{'a': 0.001, 'e': 0.25846370527942}",25,0,-4.269940558862224,"{0: 20, 1: 2, 2: 3, 3: 0, 4: 0}",0
1354,False,"{'a': 0.001, 'e': 0.25820537076292666}",25,16,16.679451408525757,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
1355,False,"{'a': 0.001, 'e': 0.2579472944518257}",20,11,16.600351900369066,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
1356,False,"{'a': 0.001, 'e': 0.25768947608804055}",20,0,-15.664736765317452,"{0: 16, 1: 1, 2: 3, 3: 0, 4: 0}",0
