trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
154,False,"{'a': 0.8572720210114575, 'e': 0.21438110142697797}",25,12,19.008346990523258,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
155,False,"{'a': 0.8564151774836135, 'e': 0.21224797382674307}",30,16,-57.313415435298964,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 2}",1
156,False,"{'a': 0.8555591903710185, 'e': 0.21013607120076475}",25,0,3.516386545063968,"{0: 22, 1: 0, 2: 3, 3: 0, 4: 0}",1
157,False,"{'a': 0.8547040588176851, 'e': 0.20804518235702046}",30,18,21.18663683419325,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
158,False,"{'a': 0.8538497819684817, 'e': 0.20597509820488347}",20,7,-36.41343387430113,"{0: 10, 1: 1, 2: 1, 3: 0, 4: 1}",1
159,False,"{'a': 0.8529963589691315, 'e': 0.20392561173421345}",20,0,13.37799671784386,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
160,False,"{'a': 0.8521437889662113, 'e': 0.2018965179946554}",25,12,19.170050035074873,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
161,False,"{'a': 0.8512920711071511, 'e': 0.1998876140751445}",25,6,-5.002101258049337,"{0: 16, 1: 1, 2: 2, 3: 0, 4: 0}",1
162,False,"{'a': 0.850441204540233, 'e': 0.19789869908361468}",30,15,12.786663750828254,"{0: 14, 1: 0, 2: 1, 3: 0, 4: 0}",1
163,False,"{'a': 0.8495911884145902, 'e': 0.19592957412690934}",25,8,-35.54277157631263,"{0: 13, 1: 2, 2: 1, 3: 0, 4: 1}",1
164,False,"{'a': 0.8487420218802068, 'e': 0.19398004229089189}",20,7,20.230325953812926,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
165,False,"{'a': 0.8478937040879159, 'e': 0.1920499086207541}",20,3,12.202709577047028,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 0}",1
166,False,"{'a': 0.8470462341893996, 'e': 0.19013898010152053}",25,13,23.13934291603489,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
167,False,"{'a': 0.8461996113371882, 'e': 0.1882470656387468}",20,15,9.10680684625033,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
168,False,"{'a': 0.8453538346846587, 'e': 0.18637397603941}",25,11,26.81372742605017,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
169,False,"{'a': 0.8445089033860343, 'e': 0.1845195239929893}",25,11,-33.91621041926577,"{0: 11, 1: 0, 2: 2, 3: 0, 4: 1}",1
170,False,"{'a': 0.8436648165963837, 'e': 0.18268352405273466}",20,12,17.065294483740733,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
171,False,"{'a': 0.8428215734716199, 'e': 0.1808657926171221}",25,11,-27.354622936274847,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 1}",1
172,False,"{'a': 0.8419791731684999, 'e': 0.17906614791149325}",20,0,18.594265738930932,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
173,False,"{'a': 0.8411376148446232, 'e': 0.17728440996987782}",25,7,-4.094697128356975,"{0: 15, 1: 0, 2: 3, 3: 0, 4: 0}",1
